tree,order,trial,batch,n_deleted,time_ms,height_after,util_after
Bplustree,20,2,10pct,10000,0.684291,4,0.638312
Bplustree,20,2,20pct_total,20000,0.695208,4,0.602987
Btree,30,2,10pct,10000,0.753458,4,0.634008
Btree,30,2,20pct_total,20000,0.701375,4,0.610231
Bstartree,30,2,10pct,10000,0.622791,3,0.781067
Bstartree,30,2,20pct_total,20000,0.556625,3,0.694282
Bplustree,30,2,10pct,10000,0.713292,4,0.635315
Bplustree,30,2,20pct_total,20000,0.751292,4,0.605743
Btree,50,2,10pct,10000,0.803666,3,0.651211
Btree,50,2,20pct_total,20000,0.827916,3,0.622558
Bstartree,50,2,10pct,10000,0.644,3,0.779666
Bstartree,50,2,20pct_total,20000,0.603542,3,0.693037
Bplustree,50,2,10pct,10000,0.752167,3,0.644364
Bplustree,50,2,20pct_total,20000,0.767166,3,0.623532
Btree,3,3,10pct,10000,1.75492,8,0.601544
Btree,3,3,20pct_total,20000,1.41858,8,0.566452
Bstartree,3,3,10pct,10000,1.06329,7,0.750063
Bstartree,3,3,20pct_total,20000,1.00717,7,0.674878
Bplustree,3,3,10pct,10000,1.23858,8,0.667336
Bplustree,3,3,20pct_total,20000,1.12283,8,0.613797
Btree,4,3,10pct,10000,1.27071,7,0.614058
Btree,4,3,20pct_total,20000,1.17979,7,0.57831
Bstartree,4,3,10pct,10000,0.930875,6,0.760103
Bstartree,4,3,20pct_total,20000,0.922166,6,0.682058
Bplustree,4,3,10pct,10000,0.940834,7,0.660208
Bplustree,4,3,20pct_total,20000,0.961625,7,0.606503
Btree,5,3,10pct,10000,1.05262,6,0.61931
Btree,5,3,20pct_total,20000,1.05858,6,0.584795
Bstartree,5,3,10pct,10000,0.86925,6,0.761731
Bstartree,5,3,20pct_total,20000,0.853625,6,0.682134
Bplustree,5,3,10pct,10000,0.94525,6,0.652568
Bplustree,5,3,20pct_total,20000,0.886792,6,0.600371
Btree,7,3,10pct,10000,1.02721,5,0.625843
Btree,7,3,20pct_total,20000,0.90175,5,0.593714
Bstartree,7,3,10pct,10000,0.741541,5,0.770001
Bstartree,7,3,20pct_total,20000,0.709708,5,0.687888
Bplustree,7,3,10pct,10000,0.776417,5,0.644654
Bplustree,7,3,20pct_total,20000,0.815625,5,0.59595
Btree,10,3,10pct,10000,0.781917,5,0.627064
Btree,10,3,20pct_total,20000,0.890792,5,0.599534
Bstartree,10,3,10pct,10000,0.655458,4,0.771598
Bstartree,10,3,20pct_total,20000,0.627833,4,0.68777
Bplustree,10,3,10pct,10000,0.7195,5,0.640339
Bplustree,10,3,20pct_total,20000,0.728708,5,0.596786
Btree,15,3,10pct,10000,0.769708,4,0.632453
Btree,15,3,20pct_total,20000,0.70975,4,0.603505
Bstartree,15,3,10pct,10000,0.623541,4,0.775668
Bstartree,15,3,20pct_total,20000,0.596084,4,0.690518
Bplustree,15,3,10pct,10000,0.680375,4,0.639373
Bplustree,15,3,20pct_total,20000,0.676,4,0.602298
Btree,20,3,10pct,10000,0.728667,4,0.636956
Btree,20,3,20pct_total,20000,0.902708,4,0.610137
Bstartree,20,3,10pct,10000,0.628625,4,0.776217
Bstartree,20,3,20pct_total,20000,0.583375,4,0.690667
Bplustree,20,3,10pct,10000,0.66575,4,0.639782
Bplustree,20,3,20pct_total,20000,0.696708,4,0.606426
Btree,30,3,10pct,10000,0.661542,4,0.636654
Btree,30,3,20pct_total,20000,0.653375,4,0.613266
Bstartree,30,3,10pct,10000,0.578917,3,0.77947
Bstartree,30,3,20pct_total,20000,0.5515,3,0.693926
Bplustree,30,3,10pct,10000,0.711916,4,0.639609
Bplustree,30,3,20pct_total,20000,0.692625,4,0.608305
Btree,50,3,10pct,10000,0.667875,3,0.649815
Btree,50,3,20pct_total,20000,0.655959,3,0.621601
Bstartree,50,3,10pct,10000,0.640458,3,0.785731
Bstartree,50,3,20pct_total,20000,0.624375,3,0.699032
Bplustree,50,3,10pct,10000,0.75525,3,0.651081
Bplustree,50,3,20pct_total,20000,0.745333,3,0.619376
